READY arena h2 8080 loops=8
14:46:09.734 [multiThreadIoEventLoopGroup-3-8] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x88dd2886, L:/127.0.0.1:8080 - R:/127.0.0.1:52250] OUTBOUND SETTINGS: ack=true
14:46:09.734 [multiThreadIoEventLoopGroup-3-2] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xbb69eb36, L:/127.0.0.1:8080 - R:/127.0.0.1:52226] OUTBOUND SETTINGS: ack=true
14:46:09.734 [multiThreadIoEventLoopGroup-3-5] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xc8c60217, L:/127.0.0.1:8080 - R:/127.0.0.1:52236] OUTBOUND SETTINGS: ack=true
14:46:09.734 [multiThreadIoEventLoopGroup-3-3] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xa63cb4e5, L:/127.0.0.1:8080 - R:/127.0.0.1:52218] OUTBOUND SETTINGS: ack=true
14:46:09.734 [multiThreadIoEventLoopGroup-3-6] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb53b7525, L:/127.0.0.1:8080 - R:/127.0.0.1:52238] OUTBOUND SETTINGS: ack=true
14:46:09.734 [multiThreadIoEventLoopGroup-3-1] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb1a15490, L:/127.0.0.1:8080 - R:/127.0.0.1:52210] OUTBOUND SETTINGS: ack=true
14:46:09.734 [multiThreadIoEventLoopGroup-3-4] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xfe330f58, L:/127.0.0.1:8080 - R:/127.0.0.1:52216] OUTBOUND SETTINGS: ack=true
14:46:09.734 [multiThreadIoEventLoopGroup-3-7] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x3ae81b4f, L:/127.0.0.1:8080 - R:/127.0.0.1:52248] OUTBOUND SETTINGS: ack=true
14:46:09.734 [multiThreadIoEventLoopGroup-3-1] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb1a15490, L:/127.0.0.1:8080 - R:/127.0.0.1:52210] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=1073676288
14:46:09.734 [multiThreadIoEventLoopGroup-3-3] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xa63cb4e5, L:/127.0.0.1:8080 - R:/127.0.0.1:52218] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=1073676288
14:46:09.734 [multiThreadIoEventLoopGroup-3-5] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xc8c60217, L:/127.0.0.1:8080 - R:/127.0.0.1:52236] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=1073676288
14:46:09.734 [multiThreadIoEventLoopGroup-3-2] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xbb69eb36, L:/127.0.0.1:8080 - R:/127.0.0.1:52226] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=1073676288
14:46:09.734 [multiThreadIoEventLoopGroup-3-6] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb53b7525, L:/127.0.0.1:8080 - R:/127.0.0.1:52238] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=1073676288
14:46:09.734 [multiThreadIoEventLoopGroup-3-4] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xfe330f58, L:/127.0.0.1:8080 - R:/127.0.0.1:52216] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=1073676288
14:46:09.734 [multiThreadIoEventLoopGroup-3-7] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x3ae81b4f, L:/127.0.0.1:8080 - R:/127.0.0.1:52248] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=1073676288
14:46:09.734 [multiThreadIoEventLoopGroup-3-8] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x88dd2886, L:/127.0.0.1:8080 - R:/127.0.0.1:52250] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=1073676288
14:46:09.737 [multiThreadIoEventLoopGroup-3-6] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb53b7525, L:/127.0.0.1:8080 - R:/127.0.0.1:52238] INBOUND HEADERS: streamId=1 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.737 [multiThreadIoEventLoopGroup-3-3] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xa63cb4e5, L:/127.0.0.1:8080 - R:/127.0.0.1:52218] INBOUND HEADERS: streamId=1 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.737 [multiThreadIoEventLoopGroup-3-8] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x88dd2886, L:/127.0.0.1:8080 - R:/127.0.0.1:52250] INBOUND HEADERS: streamId=1 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.737 [multiThreadIoEventLoopGroup-3-1] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb1a15490, L:/127.0.0.1:8080 - R:/127.0.0.1:52210] INBOUND HEADERS: streamId=1 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.737 [multiThreadIoEventLoopGroup-3-7] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x3ae81b4f, L:/127.0.0.1:8080 - R:/127.0.0.1:52248] INBOUND HEADERS: streamId=1 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.737 [multiThreadIoEventLoopGroup-3-2] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xbb69eb36, L:/127.0.0.1:8080 - R:/127.0.0.1:52226] INBOUND HEADERS: streamId=1 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.737 [multiThreadIoEventLoopGroup-3-4] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xfe330f58, L:/127.0.0.1:8080 - R:/127.0.0.1:52216] INBOUND HEADERS: streamId=1 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.737 [multiThreadIoEventLoopGroup-3-5] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xc8c60217, L:/127.0.0.1:8080 - R:/127.0.0.1:52236] INBOUND HEADERS: streamId=1 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.738 [multiThreadIoEventLoopGroup-3-7] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x3ae81b4f, L:/127.0.0.1:8080 - R:/127.0.0.1:52248] INBOUND HEADERS: streamId=3 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.738 [multiThreadIoEventLoopGroup-3-4] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xfe330f58, L:/127.0.0.1:8080 - R:/127.0.0.1:52216] INBOUND HEADERS: streamId=3 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.738 [multiThreadIoEventLoopGroup-3-5] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xc8c60217, L:/127.0.0.1:8080 - R:/127.0.0.1:52236] INBOUND HEADERS: streamId=3 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.738 [multiThreadIoEventLoopGroup-3-8] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x88dd2886, L:/127.0.0.1:8080 - R:/127.0.0.1:52250] INBOUND HEADERS: streamId=3 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
14:46:09.738 [multiThreadIoEventLoopGroup-3-1] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb1a15490, L:/127.0.0.1:8080 - R:/127.0.0.1:52210] INBOUND HEADERS: streamId=3 headers=DefaultHttp2Headers[:path: /, :scheme: http, :authority: 127.0.0.1:8080, :method: POST, user-agent: h2load nghttp2/1.66.0, content-length: 4096] padding=0 endStream=false
